id,predicted_price
2591820310,357415.6
7974200820,880442.4
7701450110,1230888.6
9522300010,1907076.4
9510861140,645647.06
1761300310,249697.88
7732410120,754450.8
7010701383,584267.7
291310170,447729.47
4232901990,541663.5
6840701125,693033.06
3971700580,414984.9
4202400078,228296.23
6064800090,322949.72
2626119028,199286.39
3303980660,1268457.9
862000020,556556.4
2386000070,1024656.06
1138000450,353765.7
1775800420,449288.53
2291401425,438886.22
2025770560,879066.44
3525069037,650616.0
9324800450,633670.1
8080400136,525944.4
8651540040,500588.56
9407001790,278782.0
1773101530,226445.52
9432900250,322490.53
1794500695,617510.06
2220069003,402435.47
923000120,523677.12
5728000060,578604.06
16000200,285933.1
1926059094,488718.75
6672900220,945588.1
3629860060,783496.2
1822069109,387628.6
6675500105,335728.8
249000180,1580599.5
226059065,454979.3
396100110,285059.66
9264450460,301650.7
7853361210,405525.28
9474700020,276287.16
421000455,217217.52
3755200220,396408.28
7960100075,431199.3
9477100490,343216.12
9138100350,809613.8
1624049275,366547.4
2770606890,380197.12
1157200189,405467.28
2770601800,495437.88
9301300805,463123.7
2325069032,1154230.5
1021079099,345827.53
7215730040,694088.06
1853200080,503571.62
3224600340,633378.9
3222049120,350794.16
2113700025,285991.47
7893207925,210287.78
3586501085,498471.97
8024200010,405202.5
7116500705,191243.73
1598600209,311444.06
7204200025,924452.06
4206901505,525319.3
2937300440,890894.7
7205000180,256840.86
8718500665,377149.9
5318101765,851734.44
4122700020,732826.3
8078700020,483465.6
3303980680,1080367.5
8924100372,1104622.6
2781270210,224358.05
519000043,535257.44
3225069301,1606087.6
151000075,650346.1
2297400020,441750.9
6617500085,697430.9
104510180,233611.88
3528900060,922293.7
3345100286,544973.44
1226039130,486700.16
8712100720,762398.3
3037200010,376251.06
3626039268,405384.16
104510230,244336.39
5112800060,396546.3
6072400280,678178.94
5317100570,1024679.5
9528102993,473870.84
2919201095,510958.12
6181400920,277601.9
185000161,229588.78
8691400010,713626.94
3345700165,598062.75
6151800486,219569.36
4340000080,1115444.8
4136960010,471962.62
3634100030,315146.22
1624059224,1265885.1
2788400090,263872.44
9828200762,455238.0
7524400250,581049.8
3528000290,696659.75
5700003630,2735531.0
2720069019,268467.34
7227501170,227986.84
2397101270,628490.7
6792100090,723286.4
